period,plantCode,plantName,fuel2002,fuelTypeDescription,state,stateDescription,primeMover,gross.generation,gross.generation.units
2016-01,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,116.35,megawatthours
2015-08,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,288.36,megawatthours
2016-11,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,328.33,megawatthours
2016-10,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,445.71,megawatthours
2017-01,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,135.44,megawatthours
2015-10,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,212.95,megawatthours
2015-07,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,249.41,megawatthours
2014-04,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,231.19,megawatthours
2014-12,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,120.89,megawatthours
2014-10,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,220.42,megawatthours
2015-02,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,207.69,megawatthours
2015-03,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,293.83,megawatthours
2014-08,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,293.87,megawatthours
2016-12,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,294.03,megawatthours
2014-11,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,179.71,megawatthours
2014-09,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,232.84,megawatthours
2015-04,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,289.39,megawatthours
2015-09,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,267.93,megawatthours
2013-10,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,137.09,megawatthours
2013-11,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,94.12,megawatthours
2013-12,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,94.19,megawatthours
2014-07,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,241.28,megawatthours
2013-09,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,132.11,megawatthours
2013-08,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,142.83,megawatthours
2015-05,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,268.13,megawatthours
2016-04,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,205.6,megawatthours
2017-03,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,261.68,megawatthours
2015-01,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,145.62,megawatthours
2015-06,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,310.2,megawatthours
2013-05,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,147.1,megawatthours
2013-01,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,86.74,megawatthours
2013-06,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,150.08,megawatthours
2014-02,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,198.15,megawatthours
2014-01,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,175.2,megawatthours
2014-06,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,288.09,megawatthours
2013-07,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,143.34,megawatthours
2014-03,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,248.04,megawatthours
2013-03,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,122.92,megawatthours
2013-02,56815,Denver Int Airport,SUN,Solar,CO,Colorado,PV,99.14,megawatthours
2013-04,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,237.37,megawatthours
2019-09,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,263.91,megawatthours
2019-08,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,319.71,megawatthours
2019-07,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,314.06,megawatthours
2020-10,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,191.63,megawatthours
2016-05,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,225.96,megawatthours
2016-06,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,237.68,megawatthours
2020-04,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,274.42,megawatthours
2020-06,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,308.94,megawatthours
