GEOID,year,month,smoke_days,total_pm
04013117200,2017,08,2,4.01848
04013117200,2017,09,2,13.298751
04013117200,2017,10,3,4.1501563
04013117200,2018,07,1,1.496858
04013117200,2018,08,9,35.569522
04013117200,2018,11,1,10.48088
04013117200,2019,06,9,6.7155044
04013117200,2019,07,1,1.076354
04013117200,2019,10,3,7.937377
04013117200,2019,11,1,1.327576
04013117200,2020,06,6,7.3052176
04013117200,2020,08,16,86.8895029
04013117200,2020,09,21,96.118592
04013117200,2020,10,16,51.111533
04013216816,2013,05,2,3.793939
04013216816,2013,06,4,19.403484
04013216816,2013,07,6,24.133185
04013216816,2014,05,2,4.479617
04013216816,2014,07,1,0.8650119
04013216816,2015,04,1,1.413626
04013216816,2015,06,5,9.010188
04013216816,2015,08,1,1.485485
04013216816,2016,05,1,2.458335
04013216816,2016,06,6,14.179067
04013216816,2016,08,4,6.3044153
04013216816,2017,06,8,20.0118538
04013216816,2017,07,2,6.119895
04013216816,2017,08,2,4.193174
04013216816,2017,09,2,15.59691
04013216816,2017,10,3,4.459941
04013216816,2018,07,1,2.446149
04013216816,2018,08,9,36.170364
04013216816,2018,11,1,6.650968
04013216816,2019,04,1,1.288944
04013216816,2019,06,10,12.0222001
04013216816,2019,07,1,1.163312
04013216816,2019,08,1,0.6806429
04013216816,2019,09,1,2.763278
04013216816,2019,10,3,6.5118256
04013216816,2019,11,1,1.916785
04013216816,2020,06,7,10.8974514
04013216816,2020,08,16,96.408639
04013216816,2020,09,22,102.346918
04013216816,2020,10,16,53.323281
04013318400,2013,04,1,1.05417
04013318400,2013,05,2,2.905028
04013318400,2013,06,4,23.5134928
04013318400,2013,07,6,20.469322
04013318400,2014,05,2,4.424378
04013318400,2014,07,1,0.1796581
04013318400,2015,04,1,1.151688
04013318400,2015,06,5,6.9676306
04013318400,2015,08,1,0.8115679
04013318400,2016,05,1,2.059745
04013318400,2016,06,6,9.2826234
04013318400,2016,08,5,6.6863885
04013318400,2017,06,9,18.8498899
04013318400,2017,07,2,5.977894
04013318400,2017,08,2,3.885516
04013318400,2017,09,2,13.699704
04013318400,2017,10,2,2.8989728
04013318400,2018,07,1,1.423807
04013318400,2018,08,9,50.139777
04013318400,2018,11,1,9.022251
04013318400,2019,06,10,7.0654766
04013318400,2019,07,1,1.077324
04013318400,2019,08,1,0.1570883
04013318400,2019,10,3,7.759361
04013318400,2019,11,1,1.272831
04013318400,2020,06,7,8.766023
04013318400,2020,08,16,86.6966949
04013318400,2020,09,21,93.4619164
04013318400,2020,10,16,46.628547
04013318700,2013,04,1,1.032216
04013318700,2013,05,2,3.01778
04013318700,2013,06,4,23.9747693
04013318700,2013,07,6,20.321416
04013318700,2014,05,2,4.352497
04013318700,2015,04,1,1.128118
04013318700,2015,06,5,6.7007829
04013318700,2015,08,1,0.7871748
04013318700,2016,05,1,2.00712
04013318700,2016,06,6,8.8753245
04013318700,2016,08,5,6.5942736
04013318700,2017,06,9,18.6170184
04013318700,2017,07,2,5.887704
04013318700,2017,08,2,3.762403
04013318700,2017,09,2,13.155561
04013318700,2017,10,2,2.8664818
04013318700,2018,07,1,1.310286
04013318700,2018,08,9,51.216596
04013318700,2018,11,1,9.244261
04013318700,2019,06,9,6.2421688
04013318700,2019,07,1,1.067059
04013318700,2019,10,3,7.8380766
04013318700,2019,11,1,1.162793
04013318700,2020,06,6,8.5463334
04013318700,2020,08,16,85.6767809
04013318700,2020,09,21,92.0746493
04013318700,2020,10,16,46.004128
04013422401,2013,05,1,1.78146
04013422401,2013,06,4,19.465456
04013422401,2013,07,6,25.080937
04013422401,2014,05,3,11.206502
04013422401,2015,04,1,1.566081
04013422401,2015,06,4,8.708909
04013422401,2015,08,1,1.241823
04013422401,2016,04,1,3.544419
04013422401,2016,06,6,13.002433
04013422401,2016,08,4,6.909161
04013422401,2017,06,8,24.4847597
04013422401,2017,07,2,8.651243
04013422401,2017,08,2,5.922817
04013422401,2017,09,2,16.876631
04013422401,2017,10,2,4.265303
04013422401,2018,05,1,5.4924
04013422401,2018,07,1,2.601116
04013422401,2018,08,9,49.770523
04013422401,2018,11,1,8.381984
04013422401,2019,06,9,11.5354215
04013422401,2019,10,3,10.067727
04013422401,2019,11,1,2.371109
04013422401,2020,06,6,12.1907199
04013422401,2020,08,16,102.805999
04013422401,2020,09,21,120.68674
04013422401,2020,10,16,55.019288
04013422646,2013,01,1,0.6426008
04013422646,2013,05,2,4.500951
04013422646,2013,06,4,16.82949
04013422646,2013,07,6,25.924682
04013422646,2014,05,3,9.660252
04013422646,2015,04,1,1.629351
04013422646,2015,06,4,10.598174
04013422646,2015,08,1,1.631238
04013422646,2016,04,1,2.225906
04013422646,2016,06,6,17.93464
04013422646,2016,08,4,7.850583
04013422646,2017,06,10,40.326177
04013422646,2017,07,2,8.317079
04013422646,2017,08,2,5.168828
04013422646,2017,09,2,19.631722
04013422646,2017,10,3,5.388213
04013422646,2018,05,1,6.86632
04013422646,2018,07,1,3.111789
04013422646,2018,08,9,39.5404768
04013422646,2018,11,3,9.934554
04013422646,2019,06,10,22.5792763
04013422646,2019,08,1,2.014561
04013422646,2019,10,4,8.926307
04013422646,2019,11,1,2.231118
04013422646,2020,06,9,20.8610747
04013422646,2020,08,16,128.382904
04013422646,2020,09,21,119.965683
04013422646,2020,10,16,58.087332
04013610000,2013,05,1,2.114901
04013610000,2013,06,4,23.512494
04013610000,2013,07,6,30.389993
04013610000,2013,11,1,1.748647
04013610000,2014,05,2,4.495729
04013610000,2014,07,2,1.29906548685
04013610000,2014,08,1,0.008878579
04013610000,2015,04,1,2.200031
04013610000,2015,06,6,10.895875
04013610000,2015,08,2,3.04929706
04013610000,2015,10,1,0.4611583
04013610000,2016,04,1,0.1820635
04013610000,2016,05,3,0.18162689247
04013610000,2016,06,7,12.7981864185
04013610000,2016,08,5,6.3852794
04013610000,2017,06,10,34.6340035
04013610000,2017,07,6,3.71977076688
04013610000,2017,08,2,4.269859
04013610000,2017,09,3,15.1279356
04013610000,2017,10,4,2.6888317506
04013610000,2018,01,1,0.01492847
04013610000,2018,02,2,0.09801453
04013610000,2018,06,1,0.003141942
04013610000,2018,07,2,3.1256664
04013610000,2018,08,9,33.773387
04013610000,2018,10,1,2.692697e-05
04013610000,2018,11,1,3.164398
04013610000,2019,04,1,0.9717336
04013610000,2019,05,2,2.586682
04013610000,2019,06,12,11.417397459546
04013610000,2019,07,4,3.5149019
04013610000,2019,08,1,1.954732
04013610000,2019,09,2,4.964305
04013610000,2019,10,6,8.927356789
04013610000,2019,11,2,3.5412186
04013610000,2020,05,4,2.08639565
04013610000,2020,06,7,25.845522
04013610000,2020,08,17,104.743987
04013610000,2020,09,23,110.419806
04013610000,2020,10,18,90.3916951
04013619600,2013,05,2,5.468416
04013619600,2013,06,4,23.283962
04013619600,2013,07,6,24.747697
04013619600,2014,05,2,4.57025
04013619600,2015,04,1,1.430152
04013619600,2015,06,5,9.634826
04013619600,2015,08,1,1.673398
04013619600,2016,05,1,3.030117
04013619600,2016,06,5,11.588243
04013619600,2016,08,4,6.2911392
04013619600,2017,06,8,22.1877913
04013619600,2017,07,2,6.340152
04013619600,2017,08,2,4.474565
04013619600,2017,09,2,16.325007
04013619600,2017,10,3,5.107371
04013619600,2018,07,1,2.856136
04013619600,2018,08,9,32.796663
04013619600,2018,11,1,5.13625
04013619600,2019,04,1,1.174227
04013619600,2019,06,10,13.0761952
04013619600,2019,07,1,1.190439
04013619600,2019,09,1,3.070038
04013619600,2019,10,4,7.7722718
04013619600,2019,11,1,2.038816
04013619600,2020,06,8,13.454855
04013619600,2020,08,16,94.078005
04013619600,2020,09,22,109.172237
04013619600,2020,10,16,58.923393
04013723305,2013,01,1,0.04674937
04013723305,2013,05,6,11.787544042
04013723305,2013,06,4,26.191715
04013723305,2013,07,6,28.1569087
