period,plantCode,plantName,fuel2002,fuelTypeDescription,state,stateDescription,primeMover,gross.generation,gross.generation.units,sector,entityid,entityName,balancing_authority_code,balancing.authority.name,status,gen_cap,operating.year.month,geometry,intersection,geoid,long,lat
2017-12,61462,SR Platte Solar Farm,SUN,Solar,CO,Colorado,PV,1243.4,megawatthours,ipp-non-chp,61081,SR Platte,PSCO,Public Service Company of Colorado,OP,16,2017-11,-104.692067|40.181742,10551,08123001800,-104.692067,40.181742
2017-12,61472,San Luis Solar Garden,SUN,Solar,CO,Colorado,PV,122.74,megawatthours,ipp-non-chp,61090,San Luis Solar Garden LLC,PS,Public Service Company of Colorado,OP,1.2,2017-08,-106.018925|37.068132,10732,08021974800,-106.018925,37.068132
2017-12,61563,Denver Metro Solar,SUN,Solar,CO,Colorado,PV,44,megawatthours,ipp-non-chp,61163,Denver Metro Solar LLC,PSCO,Public Service Company of Colorado,OP,1.6,2017-12,-104.621139|39.759298,10246,08001008353,-104.621139,39.759298
2017-12,61605,San Luis Valley Solar Array,SUN,Solar,CO,Colorado,PV,586.97,megawatthours,ipp-non-chp,60571,AEP Onsite Partners,PSCO,Public Service Company of Colorado,OP,2.7,2017-11,-106.22|37.777,10448,08109977700,-106.22,37.777
2017-12,61606,Vilas Solar Array,SUN,Solar,CO,Colorado,PV,199,megawatthours,ipp-non-chp,60571,AEP Onsite Partners,PSCO,Public Service Company of Colorado,OP,4,2017-12,-102.466|37.384,9700,08009964700,-102.466,37.384
2019-02,61752,Quincy II Solar Garden,SUN,Solar,CO,Colorado,PV,185.61,megawatthours,ipp-non-chp,60571,AEP Onsite Partners,PSCO,Public Service Company of Colorado,OP,1.5,2018-05,-104.662508|39.638409,10078,08005007104,-104.662508,39.638409
2019-02,61753,Imboden Solar Garden,SUN,Solar,CO,Colorado,PV,349.47,megawatthours,ipp-non-chp,60571,AEP Onsite Partners,PSCO,Public Service Company of Colorado,OP,3,2018-05,-104.583574|39.786769,10256,08001008401,-104.583574,39.786769
2019-02,61811,Titan Solar,SUN,Solar,CO,Colorado,PV,5663,megawatthours,ipp-non-chp,61436,"Titan Solar, LLC",PSCO,Public Service Company of Colorado,OP,50,2018-12,-104.01398|39.68646,10019,08005007101,-104.01398,39.68646
2020-10,61886,Bar D,SUN,Solar,CO,Colorado,PV,673.07,megawatthours,ipp-non-chp,61060,Cypress Creek Renewables,WACM,Western Area Power Administration - Rocky Mountain Region,OP,4,2018-12,-108.462709|39.923679,9915,08103951100,-108.462709,39.923679
2019-02,62224,Oak Leaf Solar XXVII LLC,SUN,Solar,CO,Colorado,PV,190.93,megawatthours,ipp-non-chp,60025,Greenbacker Renewable Energy Corporation,PSCO,Public Service Company of Colorado,OP,1.5,2018-11,-104.64|40.44,10564,08123000705,-104.64,40.44
2019-02,62239,Oak Leaf Solar XXX LLC (CSG),SUN,Solar,CO,Colorado,PV,227.21,megawatthours,ipp-non-chp,60025,Greenbacker Renewable Energy Corporation,PSCO,Public Service Company of Colorado,OP,1.5,2018-12,-105.878021|37.453381,10050,08003960300,-105.878021,37.453381
